host_id,listing_count,host_rank,cumulative_listing_count,cumulative_listing_share_percentage,cumulative_host_share_percentage
48307592,5,113,2075,67.00032289312237,14.829396325459317
680853454,5,114,2080,67.16176945431063,14.960629921259844
206769167,5,115,2085,67.32321601549887,15.091863517060366
544525434,5,116,2090,67.48466257668711,15.223097112860891
493110459,5,117,2095,67.64610913787537,15.354330708661418
501291108,5,118,2100,67.80755569906361,15.485564304461944
504706105,5,119,2105,67.96900226025186,15.616797900262466
326090835,5,120,2110,68.1304488214401,15.748031496062993
367042,5,121,2115,68.29189538262835,15.879265091863518
544341239,5,122,2120,68.4533419438166,16.010498687664043
287240181,5,123,2125,68.61478850500484,16.141732283464567
221293047,5,124,2130,68.7762350661931,16.27296587926509
545753012,5,125,2135,68.93768162738134,16.404199475065617
42295661,5,126,2140,69.09912818856958,16.535433070866144
653907958,5,127,2145,69.26057474975784,16.666666666666664
218722083,5,128,2150,69.42202131094608,16.79790026246719
300415759,5,129,2155,69.58346787213432,16.92913385826772
252091822,5,130,2160,69.74491443332256,17.060367454068242
34649530,5,131,2165,69.90636099451082,17.191601049868765
184792657,5,132,2170,70.06780755569906,17.322834645669293
525207877,5,133,2175,70.2292541168873,17.454068241469816
686408018,4,134,2179,70.35841136583791,17.585301837270343
689921502,4,135,2183,70.48756861478851,17.716535433070867
689920810,4,136,2187,70.6167258637391,17.84776902887139
121666882,4,137,2191,70.7458831126897,17.979002624671917
1584407,4,138,2195,70.8750403616403,18.11023622047244
125437217,4,139,2199,71.0041976105909,18.241469816272964
3926646,4,140,2203,71.13335485954148,18.37270341207349
687512818,4,141,2207,71.26251210849209,18.503937007874015
33399249,4,142,2211,71.3916693574427,18.635170603674542
291243757,4,143,2215,71.52082660639329,18.766404199475065
535899829,4,144,2219,71.64998385534388,18.89763779527559
651579232,4,145,2223,71.77914110429448,19.028871391076116
528203435,4,146,2227,71.90829835324507,19.160104986876643
528168810,4,147,2231,72.03745560219568,19.291338582677163
47682311,4,148,2235,72.16661285114627,19.42257217847769
667873160,4,149,2239,72.29577010009687,19.553805774278217
682681675,4,150,2243,72.42492734904746,19.68503937007874
680853463,4,151,2247,72.55408459799806,19.816272965879264
194085596,4,152,2251,72.68324184694866,19.94750656167979
674516503,4,153,2255,72.81239909589927,20.078740157480315
651570560,4,154,2259,72.94155634484986,20.209973753280842
181666720,4,155,2263,73.07071359380045,20.341207349081365
434862321,4,156,2267,73.19987084275105,20.47244094488189
521372493,4,157,2271,73.32902809170164,20.603674540682416
24038248,4,158,2275,73.45818534065225,20.73490813648294
313008662,4,159,2279,73.58734258960284,20.866141732283463
319117748,4,160,2283,73.71649983855345,20.99737532808399
17526618,4,161,2287,73.84565708750404,21.128608923884514
465816408,4,162,2291,73.97481433645463,21.25984251968504
396588956,4,163,2295,74.10397158540522,21.391076115485564
697573716,4,164,2299,74.23312883435584,21.522309711286088
708079827,4,165,2303,74.36228608330643,21.653543307086615
711461826,4,166,2307,74.49144333225702,21.784776902887142
708644503,4,167,2311,74.62060058120763,21.916010498687662
734129760,4,168,2315,74.74975783015822,22.04724409448819
84590945,4,169,2319,74.87891507910881,22.178477690288716
720583609,4,170,2323,75.00807232805941,22.30971128608924
753712235,4,171,2327,75.13722957701002,22.440944881889763
720584093,3,172,2330,75.23409751372296,22.57217847769029
65679130,3,173,2333,75.33096545043591,22.703412073490814
108417270,3,174,2336,75.42783338714885,22.83464566929134
489662839,3,175,2339,75.52470132386179,22.965879265091864
711330825,3,176,2342,75.62156926057474,23.097112860892388
572592994,3,177,2345,75.7184371972877,23.228346456692915
220733620,3,178,2348,75.81530513400064,23.35958005249344
545752892,3,179,2351,75.91217307071359,23.490813648293962
23874147,3,180,2354,76.00904100742653,23.62204724409449
507286696,3,181,2357,76.10590894413949,23.753280839895012
333673909,3,182,2360,76.20277688085244,23.88451443569554
34707342,3,183,2363,76.29964481756538,24.015748031496063
333322723,3,184,2366,76.39651275427833,24.146981627296586
443920116,3,185,2369,76.49338069099129,24.278215223097114
449188691,3,186,2372,76.59024862770423,24.409448818897637
551640139,3,187,2375,76.68711656441718,24.54068241469816
696336784,3,188,2378,76.78398450113013,24.671916010498688
686036051,3,189,2381,76.88085243784307,24.803149606299215
5092893,3,190,2384,76.97772037455603,24.93438320209974
1170341,3,191,2387,77.07458831126897,25.065616797900265
726440509,3,192,2390,77.17145624798192,25.196850393700785
2327574,3,193,2393,77.26832418469488,25.32808398950131
108476315,3,194,2396,77.36519212140782,25.45931758530184
682065783,3,195,2399,77.46206005812077,25.590551181102363
594643865,3,196,2402,77.55892799483371,25.72178477690289
236303515,3,197,2405,77.65579593154666,25.853018372703414
