host_id,host_is_superhost,average_host_rating,rated_listing_count
145421414,False,5.0,1
148161755,True,4.832272727272727,22
149374360,False,5.0,1
149873393,False,4.89,1
151316863,False,4.0,6
152646149,False,4.416666666666667,3
155235048,False,5.0,2
155244964,False,4.5442857142857145,7
158158038,False,4.93,1
159031223,True,4.82625,8
160352841,False,4.93,1
167947458,False,4.93,1
173904781,False,4.84,1
177788419,False,4.33,1
182525420,False,5.0,1
184792657,False,4.522,5
186368904,False,4.72,1
186742615,False,4.6,1
187856464,False,4.69,1
188842185,False,4.62,1
193819283,True,4.612857142857143,7
194085596,False,4.9,4
199928502,False,5.0,1
201775246,False,4.428571428571429,28
206769167,False,5.0,3
209260798,True,4.368888888888889,9
211434941,False,4.452500000000001,4
211943606,False,5.0,1
212039019,False,4.613333333333333,6
216737476,False,4.88,1
218702365,False,5.0,1
218722083,False,4.808,5
220368734,False,5.0,1
220661611,True,4.706666666666667,6
220733620,False,4.97,3
221293047,False,4.029999999999999,5
223971227,False,4.661666666666666,6
225641992,True,4.9725,4
225705538,False,4.38,1
229617427,False,4.67,1
231293658,False,5.0,1
236303515,False,4.843333333333333,3
237131449,False,4.45,1
238195069,True,4.38,1
238891646,False,4.585,32
239242652,False,5.0,1
243474450,False,5.0,2
251899721,False,4.7,1
252091822,False,4.8149999999999995,2
252274843,False,4.2,1
252457369,False,4.5,1
256587033,False,4.403333333333333,9
263039672,False,5.0,1
264230720,False,4.33125,8
268906890,False,4.415,2
272468399,False,5.0,1
274002237,False,4.81,1
275261096,False,4.0,1
276304273,False,4.96,1
287240181,False,4.688000000000001,5
290685432,False,4.67,1
291243757,False,5.0,2
292133113,False,4.445294117647059,17
292851196,False,5.0,1
299971996,True,4.692857142857143,7
300415759,False,4.808,5
310302453,False,4.75,1
313008662,False,4.605,4
319117748,False,5.0,3
323810058,False,4.385,2
326090835,False,4.235,4
326217063,False,4.57,1
328013026,False,4.5249999999999995,6
329787478,False,4.0,1
333673909,False,4.25,3
337002461,False,4.153888888888889,18
337425554,False,5.0,1
337654877,False,4.54,1
367322686,False,4.88,1
372124974,True,5.0,6
373313984,False,4.728333333333333,6
375833318,True,4.761428571428572,7
376700307,False,5.0,1
391575732,False,5.0,1
396588956,True,4.8125,4
404487343,False,4.506666666666666,15
434862321,False,3.0375,4
443920116,True,4.833333333333333,3
446608982,True,5.0,1
452204023,False,4.585,2
461577696,True,4.517777777777777,9
461973800,True,5.0,2
463195123,False,4.064,5
465816408,False,4.41,3
474773234,False,4.542222222222222,9
493110459,False,2.73,5
494593479,False,4.835,6
501291108,False,4.192,5
504706105,True,4.933333333333334,3
506544191,False,4.25,2
514965405,False,5.0,1
518346592,False,5.0,1
519745580,True,5.0,1
521372493,False,4.5,3
524793962,True,4.992,5
525207877,False,4.708,5
526632910,True,4.895,2
528137608,False,4.4,1
